state,metric,rank_29th,rank_30th,rank_change,movement
Utah,rural_interstate_poor_percent_score,8,9,1,moved down
Colorado,rural_interstate_poor_percent_score,46,48,2,moved down
Illinois,rural_interstate_poor_percent_score,25,27,2,moved down
Iowa,rural_interstate_poor_percent_score,33,35,2,moved down
New Mexico,rural_interstate_poor_percent_score,42,44,2,moved down
North Carolina,rural_interstate_poor_percent_score,20,22,2,moved down
West Virginia,rural_interstate_poor_percent_score,35,37,2,moved down
Florida,rural_interstate_poor_percent_score,2,5,3,moved down
Indiana,rural_interstate_poor_percent_score,38,41,3,moved down
North Dakota,rural_interstate_poor_percent_score,7,10,3,moved down
Oklahoma,rural_interstate_poor_percent_score,31,34,3,moved down
South Dakota,rural_interstate_poor_percent_score,4,7,3,moved down
Washington,rural_interstate_poor_percent_score,43,46,3,moved down
Wisconsin,rural_interstate_poor_percent_score,26,29,3,moved down
Mississippi,rural_interstate_poor_percent_score,34,38,4,moved down
Missouri,rural_interstate_poor_percent_score,23,32,9,moved down
New Jersey,rural_interstate_poor_percent_score,17,26,9,moved down
Virginia,rural_interstate_poor_percent_score,11,21,10,moved down
Nebraska,rural_interstate_poor_percent_score,12,23,11,moved down
Delaware,rural_interstate_poor_percent_score,NA,NA,NA,missing
Hawaii,rural_interstate_poor_percent_score,NA,47,NA,missing
Nebraska,rural_opa_poor_percent_score,44,25,-19,moved up
Massachusetts,rural_opa_poor_percent_score,17,4,-13,moved up
Oregon,rural_opa_poor_percent_score,24,13,-11,moved up
Kentucky,rural_opa_poor_percent_score,15,5,-10,moved up
New Hampshire,rural_opa_poor_percent_score,14,9,-5,moved up
Pennsylvania,rural_opa_poor_percent_score,37,33,-4,moved up
Vermont,rural_opa_poor_percent_score,43,39,-4,moved up
Arkansas,rural_opa_poor_percent_score,25,22,-3,moved up
Mississippi,rural_opa_poor_percent_score,34,31,-3,moved up
Utah,rural_opa_poor_percent_score,10,7,-3,moved up
Iowa,rural_opa_poor_percent_score,38,36,-2,moved up
Maryland,rural_opa_poor_percent_score,30,28,-2,moved up
North Carolina,rural_opa_poor_percent_score,20,18,-2,moved up
North Dakota,rural_opa_poor_percent_score,23,21,-2,moved up
Wisconsin,rural_opa_poor_percent_score,40,38,-2,moved up
Florida,rural_opa_poor_percent_score,7,6,-1,moved up
Illinois,rural_opa_poor_percent_score,46,45,-1,moved up
New York,rural_opa_poor_percent_score,28,27,-1,moved up
Oklahoma,rural_opa_poor_percent_score,45,44,-1,moved up
South Carolina,rural_opa_poor_percent_score,21,20,-1,moved up
Alaska,rural_opa_poor_percent_score,50,50,0,no change
Georgia,rural_opa_poor_percent_score,3,3,0,no change
Hawaii,rural_opa_poor_percent_score,48,48,0,no change
Louisiana,rural_opa_poor_percent_score,47,47,0,no change
Nevada,rural_opa_poor_percent_score,2,2,0,no change
New Mexico,rural_opa_poor_percent_score,35,35,0,no change
Rhode Island,rural_opa_poor_percent_score,49,49,0,no change
Wyoming,rural_opa_poor_percent_score,1,1,0,no change
Maine,rural_opa_poor_percent_score,41,42,1,moved down
Minnesota,rural_opa_poor_percent_score,22,23,1,moved down
Missouri,rural_opa_poor_percent_score,13,14,1,moved down
Washington,rural_opa_poor_percent_score,29,30,1,moved down
California,rural_opa_poor_percent_score,39,41,2,moved down
Delaware,rural_opa_poor_percent_score,6,8,2,moved down
Michigan,rural_opa_poor_percent_score,16,19,3,moved down
Montana,rural_opa_poor_percent_score,26,29,3,moved down
New Jersey,rural_opa_poor_percent_score,31,34,3,moved down
Arizona,rural_opa_poor_percent_score,42,46,4,moved down
Colorado,rural_opa_poor_percent_score,33,37,4,moved down
Kansas,rural_opa_poor_percent_score,8,12,4,moved down
Texas,rural_opa_poor_percent_score,12,16,4,moved down
Tennessee,rural_opa_poor_percent_score,27,32,5,moved down
Alabama,rural_opa_poor_percent_score,5,11,6,moved down
Indiana,rural_opa_poor_percent_score,4,10,6,moved down
